species,feature,n_healthy,n_high,healthy_median,low_median,mid_median,high_median,effect_size_high_vs_healthy
kattakumanjal,texture_h_lbp_entropy,30,12,3.479,3.408,3.411,3.418,-0.44
kattakumanjal,spot_mean_size,30,12,49.972,52.92,60.333,40.395,-0.44
kalawal,ldsi_colour_sub,30,12,0.796,0.894,0.62,0.658,-0.44
maha_undupiyaliya,boundary_margin_deficit_ratio,30,12,0.14,0.122,0.123,0.111,-0.45
wal_bilin,spot_mean_size,30,12,27.5,13.5,24.333,44.167,0.46
siyambala,spot_area_ratio,30,12,0.081,0.087,0.098,0.04,-0.46
nil_awariya,hole_area_ratio,30,12,0.012,0.014,0.018,0.019,0.46
kathurupila,spot_count,30,12,20.5,10.0,8.0,9.0,-0.46
nil_awariya,colour_pct_pale_patch,30,12,0.225,0.248,0.332,0.365,0.47
kathurupila,necrotic_spot_count,30,12,20.5,9.5,8.0,9.0,-0.47
thunpath_kurundu,deform_luminance_std,29,12,36.094,35.237,37.152,38.781,0.48
kasthuri_dehi,necrotic_spot_count,30,12,5.0,9.5,14.0,7.5,0.48
beli,deform_luminance_std,30,12,28.726,25.625,26.429,26.514,-0.49
kattakumanjal,miner_trail_count,30,12,0.5,1.5,1.5,1.0,0.5
maha_undupiyaliya,hole_count,30,12,2.0,1.5,1.5,3.0,0.5
siyambala,deform_luminance_std,30,12,32.781,33.719,31.158,31.509,-0.5
wal_bilin,boundary_margin_deficit_ratio,30,12,0.102,0.075,0.106,0.123,0.5
ranawara,deform_width_profile_roughness,30,12,0.201,0.159,0.222,0.248,0.51
siyambala,spot_mean_size,30,12,68.503,89.235,65.716,36.582,-0.51
beli,ldsi_boundary_sub,30,12,7.115,7.719,7.022,6.224,-0.51
wal_bilin,texture_h_glcm_contrast_mean,30,12,7.196,8.832,7.909,7.824,0.53
kattakumanjal,hole_count,30,12,4.5,9.0,6.0,7.0,0.53
beli,spot_mean_size,30,12,28.5,36.75,49.033,48.5,0.53
kattakumanjal,ldsi_colour_sub,30,12,1.159,1.585,1.269,0.676,-0.54
kasthuri_dehi,colour_pct_chlorotic,30,12,0.069,0.107,0.009,0.008,-0.56
kalawal,hole_count,30,12,4.5,5.5,6.5,7.0,0.56
kathurupila,spot_density_per_1000px,30,12,0.968,0.326,0.275,0.328,-0.58
kasthuri_dehi,spot_count,30,12,5.0,10.5,14.0,8.0,0.6
kattakumanjal,ldsi_miner_sub,30,12,0.189,3.76,2.824,3.34,0.6
kattakumanjal,miner_trail_coverage_pct,30,12,0.02,0.406,0.293,0.369,0.6
kalawal,spot_count,30,12,10.5,11.0,7.5,14.0,0.61
kattakumanjal,ldsi_boundary_sub,30,12,8.313,9.3,10.547,9.625,0.61
siyambala,ldsi_colour_sub,30,12,4.948,4.121,4.571,2.855,-0.61
kasthuri_dehi,deform_luminance_std,30,12,32.3,36.382,38.144,37.032,0.61
wal_bilin,ldsi_boundary_sub,30,12,4.868,3.812,4.929,5.634,0.61
kattakumanjal,colour_pct_necrotic,30,12,3.435,4.583,3.626,1.733,-0.62
siyambala,ldsi_boundary_sub,30,12,5.418,4.772,5.14,4.398,-0.64
kalawal,deform_luminance_std,30,12,32.735,33.019,34.817,34.812,0.64
maha_undupiyaliya,necrotic_spot_count,30,12,4.0,9.5,4.5,8.0,0.64
maha_undupiyaliya,spot_count,30,12,4.0,9.5,4.5,8.0,0.64
wal_kollu,ldsi_boundary_sub,30,12,6.215,7.1,6.474,7.037,0.65
beli,spot_density_per_1000px,30,12,0.04,0.04,0.051,0.067,0.65
ranawara,texture_h_glcm_contrast_mean,30,12,21.68,22.27,19.547,16.97,-0.67
ranawara,colour_pct_chlorotic,30,12,0.081,0.003,0.0,0.0,-0.68
ranawara,ldsi_hole_sub,30,12,33.305,47.931,42.57,44.518,0.68
kalawal,deform_width_profile_roughness,30,12,0.274,0.28,0.234,0.216,-0.69
wal_kollu,texture_h_lbp_entropy,30,12,2.926,2.976,2.965,3.079,0.7
thunpath_kurundu,ldsi_boundary_sub,29,12,4.202,5.402,6.077,5.543,0.71
thunpath_kurundu,deform_width_profile_roughness,29,12,0.153,0.152,0.136,0.118,-0.71
nil_awariya,boundary_contour_roughness,30,12,1.234,1.224,1.214,1.211,-0.72
nil_awariya,hole_count,30,12,5.0,9.0,8.5,8.5,0.74
kalawal,miner_trail_coverage_pct,30,12,0.0,0.0,0.0,0.167,0.74
siyambala,texture_h_lbp_entropy,30,12,3.358,3.307,3.475,3.29,-0.75
ranawara,ldsi_boundary_sub,30,12,4.808,5.71,5.637,6.105,0.75
kathurupila,ldsi_boundary_sub,30,12,4.131,4.638,5.198,5.439,0.78
siyambala,hole_area_ratio,30,12,0.017,0.016,0.014,0.011,-0.79
beli,colour_pct_necrotic,30,12,0.301,0.332,0.36,0.551,0.79
beli,ldsi_colour_sub,30,12,0.109,0.119,0.128,0.193,0.79
kalawal,texture_h_lbp_entropy,30,12,2.817,2.945,2.988,2.941,0.8
kalawal,ldsi_miner_sub,30,12,0.0,0.0,0.0,1.666,0.8
wal_kollu,necrotic_spot_count,30,12,1.0,0.5,3.5,4.0,0.8
kalawal,ldsi_hole_sub,30,12,17.279,21.613,24.627,29.015,0.81
kattakumanjal,ldsi_hole_sub,30,12,16.319,30.0,26.239,25.563,0.81
wal_kollu,spot_density_per_1000px,30,12,0.044,0.02,0.084,0.124,0.81
kasthuri_dehi,ldsi_colour_sub,30,12,0.878,4.363,2.144,1.632,0.84
kalawal,hole_area_ratio,30,12,0.006,0.009,0.011,0.015,0.86
wal_kollu,spot_area_ratio,30,12,0.001,0.0,0.002,0.004,0.86
kasthuri_dehi,colour_pct_necrotic,30,12,2.529,12.764,6.337,4.805,0.86
kalawal,texture_h_glcm_contrast_mean,30,12,8.784,10.536,10.233,10.497,0.87
kathurupila,boundary_contour_roughness,30,12,1.248,1.222,1.216,1.299,0.92
wal_bilin,deform_width_profile_roughness,30,12,0.146,0.119,0.147,0.174,0.92
wal_bilin,deform_luminance_std,30,12,27.775,27.93,28.415,30.567,0.92
kathurupila,texture_h_glcm_contrast_mean,30,12,13.149,14.79,13.627,16.666,0.92
kalawal,colour_pct_chlorotic,30,12,0.003,0.002,0.008,0.012,0.92
nil_awariya,deform_width_profile_roughness,30,12,0.383,0.322,0.278,0.252,-0.94
kathurupila,boundary_margin_deficit_ratio,30,12,0.024,0.049,0.06,0.049,0.95
maha_undupiyaliya,spot_area_ratio,30,12,0.011,0.055,0.011,0.042,0.97
wal_kollu,texture_h_glcm_contrast_mean,30,12,6.254,6.184,6.605,7.116,0.98
siyambala,spot_density_per_1000px,30,12,1.443,1.194,1.461,1.018,-0.99
siyambala,colour_pct_necrotic,30,12,14.299,11.513,13.52,3.57,-1.0
kalawal,miner_trail_count,30,12,0.0,0.0,0.0,1.0,1.0
nil_awariya,boundary_margin_deficit_ratio,30,12,0.047,0.059,0.064,0.064,1.0
thunpath_kurundu,colour_pct_pale_patch,29,12,0.122,0.062,0.099,0.212,1.01
kalawal,boundary_contour_roughness,30,12,1.163,1.185,1.191,1.204,1.02
kattakumanjal,hole_area_ratio,30,12,0.005,0.016,0.009,0.011,1.03
kasthuri_dehi,spot_density_per_1000px,30,12,0.347,0.747,0.802,0.8,1.04
wal_kollu,ldsi_colour_sub,30,12,0.132,0.055,0.157,0.298,1.04
nil_awariya,ldsi_boundary_sub,30,12,4.431,4.801,5.019,5.253,1.05
maha_undupiyaliya,texture_h_lbp_entropy,30,12,2.456,2.644,2.688,2.688,1.05
